epoch,accuracy,loss,lr,top3_acc,val_accuracy,val_loss,val_top3_acc
29,0.9550607204437256,0.1972661167383194,1e-05,0.9992685914039612,0.9937686324119568,0.05175364017486572,1.0
30,0.9674952030181885,0.13306590914726257,1e-05,0.9995219707489014,0.9959360361099243,0.045509401708841324,1.0
31,0.9734703898429871,0.11059963703155518,1e-05,0.9997131824493408,0.9967488646507263,0.04237592965364456,1.0
32,0.9799235463142395,0.09510695934295654,1e-05,0.9998087882995605,0.9972907304763794,0.04089316725730896,1.0
33,0.9836997985839844,0.08158604800701141,1e-05,0.9997609853744507,0.9972907304763794,0.039832647889852524,1.0
34,0.9851338267326355,0.07514266669750214,1e-05,0.9998087882995605,0.9972907304763794,0.03875467926263809,1.0
35,0.9877629280090332,0.07186457514762878,1e-05,0.9998087882995605,0.9978325366973877,0.03877509757876396,1.0
36,0.9880018830299377,0.06771484762430191,1e-05,0.9998565912246704,0.9986453652381897,0.03739352896809578,1.0
37,0.9883365035057068,0.0659044086933136,1e-05,0.9999521970748901,0.9991872310638428,0.03728053346276283,1.0
38,0.9905831813812256,0.06261727213859558,1e-05,1.0,0.9983744025230408,0.037141501903533936,1.0
